municipality_of_production,municipality_of_production_id,state_of_production,state_of_production_id,volume_tons,volume_pct,fob_usd,fob_pct,deforestation_exposure_ha,deforestation_exposure_pct,gross_emissions_tons_co2,gross_emissions_pct
MARILUZ,4115101,PARANA,41,64678.41918896704,5.310314803751396E-4,2.2310500467474673E7,6.571318311536817E-4,0.0,0.0,0.0,0.0
ITAIOPOLIS,4208104,SANTA CATARINA,42,64638.171682526685,5.307010348695996E-4,2.2045602813538067E7,6.493295552408914E-4,204.38130691022366,4.906191502336802E-4,91344.66797315983,0.0014547258576874161
BOSSOROCA,4302501,RIO GRANDE DO SUL,43,64373.612586512,5.285289160985311E-4,2.0913589024873376E7,6.159873048094896E-4,2811.2507395944544,0.006748432475576084,226226.65110769143,0.0036028130198151073
SANTO ANGELO,4317509,RIO GRANDE DO SUL,43,64356.08335353779,5.283849952258063E-4,2.273982601738769E7,6.697771541569329E-4,215.1900962556375,5.165657454672217E-4,20654.68170860324,3.289398301019304E-4
MIMOSO DE GOIAS,5213053,GOIAS,52,64354.70712653591,5.283736959412644E-4,2.006068841206735E7,5.908660332224897E-4,374.42603385725437,8.988130339977982E-4,63170.37738285823,0.001006031150561719
RONDA ALTA,4316105,RIO GRANDE DO SUL,43,64210.24391301117,5.271876045818936E-4,5396873.251268241,1.5895910570363133E-4,1.3820860436670719,3.3177098754516705E-6,248.22674781091462,3.953179497201684E-6
SERRANOPOLIS DO IGUACU,4126355,PARANA,41,64115.99989152679,5.26413829606053E-4,0.0,0.0,10.063850897643798,2.4158363845130458E-5,4497.863002610418,7.163152222695189E-5
RANCHARIA,3542206,SAO PAULO,35,63996.99988403978,5.254367996951045E-4,0.0,0.0,0.0,0.0,0.0,0.0
FIGUEIROPOLIS,1707652,TOCANTINS,17,63788.70913180058,5.237266628689883E-4,2.204557232654858E7,6.493286572793571E-4,272.36536508358057,6.538154882681591E-4,41962.519643362175,6.682816165783413E-4
REALEZA,4121406,PARANA,41,63787.08771832595,5.237133505213996E-4,2.2289917076472167E7,6.565255694770086E-4,3.893792607897654,9.347083886258146E-6,1740.2628366643632,2.771486725872137E-5
SEBASTIAO LEAL,2210631,PIAUI,22,63737.35072644436,5.233049931626472E-4,2.2029985642588492E7,6.488695682424601E-4,1963.8651482530393,0.004714275805236322,297716.7969551132,0.004741342132041421
CATANDUVAS,4105003,PARANA,41,63703.70539289739,5.230287537074285E-4,2.0861654914273378E7,6.144576413558317E-4,10.73688881066197,2.5773997358546983E-5,4798.665583959015,7.642200757061205E-5
ITAMBE,4111100,PARANA,41,63529.93973751537,5.216020794879138E-4,2.197942232830067E7,6.473802801220256E-4,0.0,0.0,0.0,0.0
BELTERRA,1501451,PARA,15,63465.18800281742,5.210704460626587E-4,2.189804238089324E7,6.449833211682363E-4,664.4717670311343,0.001595070403568202,389107.16756256897,0.006196795835210682
FRANCISCO ALVES,4108320,PARANA,41,63403.906044947646,5.205673006670857E-4,2.1941037955362074E7,6.462497096395931E-4,0.0,0.0,0.0,0.0
FRUTAL,3127107,MINAS GERAIS,31,63063.30949443363,5.17770888931949E-4,2.1507372734936208E7,6.334765663019272E-4,1.6946323634694012,4.067980103919479E-6,212.85370922779435,3.3898398405622857E-6
SANTANA DO LIVRAMENTO,4317103,RIO GRANDE DO SUL,43,62996.61209599567,5.172232809558448E-4,1.1615172942197403E7,3.4211244502561455E-4,9265.513020936256,0.02224194665125439,742712.1749189403,0.011828195664264853
ALTO PARAISO,1100403,RONDONIA,11,62915.75766669136,5.165594390155693E-4,4242397.660629638,1.2495526701769243E-4,212.11201820308,5.091767916468899E-4,128218.68702831915,0.0020419696474635258
TORIXOREU,5108204,MATO GROSSO,51,62725.658477240795,5.149986610117485E-4,7889120.764574243,2.323655796863442E-4,6.928903370334675,1.663289434340549E-5,1028.5487401291966,1.6380337039458153E-5
FAXINAL,4107603,PARANA,41,62672.9032696851,5.14565523091603E-4,2.4145467172049418E7,7.11178804794687E-4,0.18667455767788493,4.481139407646613E-7,83.43094458052883,1.3286944394854385E-6
DOVERLANDIA,5207253,GOIAS,52,62157.9283845639,5.103374068353453E-4,1562033.1381229784,4.600800855516039E-5,345.6282078484531,8.296835957991197E-4,61100.471688048965,9.730664969696971E-4
PRESIDENTE OLEGARIO,3153400,MINAS GERAIS,31,62145.30729913424,5.102337834975505E-4,2.1592361627397105E7,6.359798228564797E-4,9.751600802968222,2.3408804707721624E-5,1455.2372050229758,2.317564055121121E-5
RIBAS DO RIO PARDO,5007109,MATO GROSSO DO SUL,50,62103.60071110905,5.098913584435969E-4,2892105.4018350104,8.518385866636779E-5,113.18288989518074,2.7169653673737236E-4,39455.66383633179,6.283582357735361E-4
CORONEL DOMINGOS SOARES,4106456,PARANA,41,61380.0,5.039503542935404E-4,0.0,0.0,152.60789232920825,3.6633660673477086E-4,68205.44141553258,0.001086217963935385
RIO PARDO,4315701,RIO GRANDE DO SUL,43,61263.800066829644,5.029963139303915E-4,2.1342339769679826E7,6.286156975456325E-4,3246.774474658904,0.0077939110862876694,293652.22597481054,0.004676611079461652
PRATA,3152808,MINAS GERAIS,31,61038.09917601975,5.011432340364844E-4,2.0818150311586905E7,6.131762600049897E-4,1.654349332920971,3.971280329780206E-6,200.5916567557688,3.194558329389495E-6
TURVO,4127965,PARANA,41,60860.6864930263,4.996866164990012E-4,1.3706596401091602E7,4.0371307694619794E-4,63.27719997220877,1.5189748293941831E-4,28280.643225588614,4.50388445052805E-4
BORRAZOPOLIS,4103305,PARANA,41,60703.14357687831,4.983931364010994E-4,1.2636000309949059E7,3.721798188364526E-4,5.46990516834163,1.3130556145868071E-5,2444.678914135298,3.8933171569256626E-5
BAGE,4301602,RIO GRANDE DO SUL,43,60388.94029855501,4.958134222689518E-4,1.1394120791000638E7,3.3560159130863236E-4,4323.559271983875,0.01037874259673583,347289.0904738099,0.005530814564386438
RIO VERDE DE MATO GROSSO,5007406,MATO GROSSO DO SUL,50,60148.15834746957,4.938365218199945E-4,2.0292061287384562E7,5.976808727846119E-4,13.790097034292463,3.3103250932711037E-5,2360.790480175262,3.759719130078135E-5
VERE,4128609,PARANA,41,59461.35583533783,4.881976432061385E-4,2118952.6496261824,6.24114746689234E-5,15.059251160513165,3.614986673302727E-5,6730.470207755994,1.071873078403916E-4
RIO AZUL,4122008,PARANA,41,59382.22346320751,4.8754793993192603E-4,2.0435096534157857E7,6.018938223671944E-4,72.94310867255733,1.7510058299046377E-4,32600.652884324925,5.191875320216217E-4
PAULA FREITAS,4118600,PARANA,41,59372.72768365014,4.874699764019125E-4,2.0248826124176357E7,5.964074274842407E-4,44.786667352241,1.0751079445737623E-4,20016.621484428775,3.187782878087211E-4
BALSA NOVA,4102307,PARANA,41,59321.47165974471,4.8704914728156675E-4,1.1662968606624093E7,3.435202149916763E-4,2.7410234931204203,6.579851344017529E-6,1225.052744161661,1.9509796723838785E-5
SANTA TEREZINHA DE ITAIPU,4124053,PARANA,41,59243.78989274636,4.864113539612513E-4,9773080.51841289,2.878555909778731E-4,0.0,0.0,0.0,0.0
ALMIRANTE TAMANDARE DO SUL,4300471,RIO GRANDE DO SUL,43,59004.41223577303,4.8444598323720976E-4,2.0555146895306285E7,6.054297768280607E-4,14.03109525146926,3.368176930264713E-5,2826.3564327475565,4.501164520043092E-5
PANAMBI,4313904,RIO GRANDE DO SUL,43,59000.00000000001,4.844097573039898E-4,2.0553704553708926E7,6.053872942052974E-4,6.535822888989045,1.5689301141821984E-5,602.504819804597,9.595298337595183E-6
CAMPO BONITO,4104055,PARANA,41,58938.60767748533,4.8390570577772426E-4,1.9301183297141947E7,5.684956257244991E-4,14.362634597898587,3.447763246094289E-5,6419.129559344475,1.0222899662373156E-4
BURI,3508009,SAO PAULO,35,58865.221579861616,4.8330318134146347E-4,2.0096076514945254E7,5.919083517880958E-4,2.4966174635051357,5.993152489926581E-6,596.3851490537876,9.497838425820676E-6
FORTALEZA DOS VALOS,4308458,RIO GRANDE DO SUL,43,58557.93793015562,4.807802796774369E-4,3227101.79663696,9.505081770957764E-5,52.687256892799944,1.264762301194389E-4,4340.6408389527405,6.912765252169891E-5
ARIRANHA DO IVAI,4101853,PARANA,41,58318.65483482545,4.788156853361516E-4,1.1931178474598248E7,3.51420048611827E-4,0.0,0.0,0.0,0.0
APARECIDA DO RIO NEGRO,1701101,TOCANTINS,17,57924.22434557846,4.7557727893666975E-4,0.0,0.0,1561.369406539222,0.003748081187158802,241719.3665394402,0.00384954503214209
ITAPEJARA D'OESTE,4111209,PARANA,41,57801.32372427409,4.74568223680084E-4,1.755130487365611E7,5.16954836023347E-4,45.05936051430177,1.0816539682521196E-4,20138.49694712913,3.207192373019079E-4
